,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Stopa zwrotu,Stopa otwarcie-zamkniecie,Stopa zamkniecie-otwarcie
1,2022-01-04,8.62,8.73,8.515,8.565,812621,-0.0005836008336053133,-0.006400952899518142,-0.04172238028685182
2,2022-01-05,8.63,8.63,8.47,8.55,282460,-0.0017528488274143328,-0.009313222146667854,0.008153801726932475
3,2022-01-07,8.535,8.76,8.505,8.665,692071,0.013360640218900155,0.015116566921165031,-0.0040474180722323005
4,2022-01-10,8.665,8.9,8.635,8.82,1066844,0.01772994685113094,0.01772994685113094,-0.03284651377229597
5,2022-01-11,8.9,8.9,8.46,8.55,1364713,-0.031090587070031095,-0.04011999378942521,0.013360640218900155
6,2022-01-12,8.555,9.055,8.555,9.03,2078443,0.05462108448022507,0.05403646008473739,-0.014501090690799856
7,2022-01-13,9.08,9.12,8.87,9.0,1639360,-0.0033277900926744763,-0.008849615276982359,-0.050708669992062916
8,2022-01-14,9.0,9.1,8.885,9.08,1704697,0.008849615276982359,0.008849615276982359,0.0
9,2022-01-17,9.07,9.1,8.89,9.05,712847,-0.0033094349013671476,-0.002207506415210503,-0.005540180375615211
10,2022-01-18,8.88,9.055,8.82,8.985,1275717,-0.007208237476312274,0.01175496323144376,0.009415743891522776
11,2022-01-19,8.9,9.04,8.755,8.78,1303052,-0.023080112588497403,-0.013574869091069086,0.011325149357053643
12,2022-01-20,8.805,9.0,8.72,8.985,755416,0.023080112588497403,0.02023677828735293,-0.009505243497428317
13,2022-01-21,8.825,8.845,8.28,8.38,2530671,-0.0697086057415306,-0.05174068832536838,0.049471827454177664
14,2022-01-24,8.38,8.64,7.69,7.81,1808522,-0.07044295064239714,-0.07044295064239714,0.12218363896776552
15,2022-01-25,7.915,8.075,7.77,7.98,1239916,0.021533447610122547,0.008178718128741824,0.04890950303227459
16,2022-01-26,7.96,8.38,7.96,8.3,264947,0.03931710334083505,0.04182651494626066,-0.04749582146957687
17,2022-01-27,8.28,8.565,8.105,8.5,418613,0.023810648693718406,0.026223195099102536,-0.06563716363997907
18,2022-01-28,8.585,8.585,8.11,8.25,727937,-0.029852963149681333,-0.039803294002849654,0.0036297680505787966
19,2022-01-31,8.505,8.505,8.03,8.22,859339,-0.0036429912785007623,-0.034084016779736714,0.043446285281350416
20,2022-02-01,8.3,8.75,8.3,8.6,1623750,0.04519199419137321,0.03550668845690952,-0.011107977411636494
21,2022-02-02,8.6,8.79,8.56,8.665,438337,0.007529719908107246,0.007529719908107246,-0.043036408365016765
22,2022-02-03,8.745,8.93,8.62,8.825,720557,0.01829667965179116,0.009106494348794847,-0.025826399559898405
23,2022-02-04,8.82,8.96,8.52,8.82,1953429,-0.000566732800660219,0.0,-0.008539761548134628
24,2022-02-07,8.8,9.045,8.73,9.0,2076853,0.020202707317519497,0.022472855852058604,-0.020202707317519497
25,2022-02-08,8.935,9.41,8.93,9.3,2815995,0.03278982282299081,0.04003825154781904,-0.055262678675049415
26,2022-02-09,9.29,9.415,9.12,9.305,2539984,0.0005374899350036877,0.0016133372684667968,-0.040575741482822725
27,2022-02-10,9.22,9.35,8.89,8.89,631739,-0.04562484056840077,-0.03644798804268934,0.044011503299933974
28,2022-02-11,8.775,8.94,8.56,8.84,1030472,-0.005640172876261396,0.007380107297622285,0.042088160918950734
