Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-03,8.215,8.69,8.215,8.57,923047
2022-01-04,8.62,8.73,8.515,8.565,812621
2022-01-05,8.63,8.63,8.47,8.55,282460
2022-01-07,8.535,8.76,8.505,8.665,692071
2022-01-10,8.665,8.9,8.635,8.82,1066844
2022-01-11,8.9,8.9,8.46,8.55,1364713
2022-01-12,8.555,9.055,8.555,9.03,2078443
2022-01-13,9.08,9.12,8.87,9,1639360
2022-01-14,9,9.1,8.885,9.08,1704697
2022-01-17,9.07,9.1,8.89,9.05,712847
2022-01-18,8.88,9.055,8.82,8.985,1275717
2022-01-19,8.9,9.04,8.755,8.78,1303052
2022-01-20,8.805,9,8.72,8.985,755416
2022-01-21,8.825,8.845,8.28,8.38,2530671
2022-01-24,8.38,8.64,7.69,7.81,1808522
2022-01-25,7.915,8.075,7.77,7.98,1239916
2022-01-26,7.96,8.38,7.96,8.3,264947
2022-01-27,8.28,8.565,8.105,8.5,418613
2022-01-28,8.585,8.585,8.11,8.25,727937
2022-01-31,8.505,8.505,8.03,8.22,859339
2022-02-01,8.3,8.75,8.3,8.6,1623750
2022-02-02,8.6,8.79,8.56,8.665,438337
2022-02-03,8.745,8.93,8.62,8.825,720557
2022-02-04,8.82,8.96,8.52,8.82,1953429
2022-02-07,8.8,9.045,8.73,9,2076853
2022-02-08,8.935,9.41,8.93,9.3,2815995
2022-02-09,9.29,9.415,9.12,9.305,2539984
2022-02-10,9.22,9.35,8.89,8.89,631739
2022-02-11,8.775,8.94,8.56,8.84,1030472
2022-02-14,8.42,8.855,8.4,8.55,1700125
2022-02-15,8.51,9.095,8.51,9,1172377
2022-02-16,9,9.16,8.845,8.88,468005
2022-02-17,8.855,8.88,8.52,8.54,639689
2022-02-18,8.6,8.745,8.48,8.53,558782
2022-02-21,8.53,8.705,8.06,8.325,934821
2022-02-22,8.05,8.695,7.83,8.625,1407700
2022-02-23,8.875,8.875,8.165,8.185,1332047
2022-02-24,7.51,7.53,6.51,6.59,4023795
2022-02-25,7.005,7.5,6.9,7.33,2454490
2022-02-28,7.145,7.38,6.905,7.005,2774586
2022-03-01,7.07,7.325,6.37,6.485,2076236
2022-03-02,6.565,6.585,6.1,6.15,3086998
2022-03-03,6.26,6.35,6.01,6.13,3029535
2022-03-04,6.03,6.04,5.43,5.5,3129957
2022-03-07,5.25,5.575,5,5.22,3984752
2022-03-08,5.2,5.91,5.12,5.605,2492074
2022-03-09,5.8,6.35,5.7,6.33,3403476
2022-03-10,6.59,6.59,6.03,6.09,2538979
2022-03-11,6.16,6.35,6.03,6.06,2553406
2022-03-14,6.1,6.15,5.83,5.965,3018255
2022-03-15,6.04,6.17,5.85,6.115,1130307
2022-03-16,6.21,6.475,6.21,6.36,2656001
2022-03-17,6.455,6.73,6.4,6.56,4073656
2022-03-18,6.7,6.7,6.22,6.3,3553736
2022-03-21,6.27,6.46,6.12,6.16,2074859
2022-03-22,6.2,6.425,6.11,6.425,1962440
2022-03-23,6.4,6.53,6.16,6.25,1214303
2022-03-24,6.3,6.31,6.12,6.175,1053620
2022-03-25,6.2,6.26,6.05,6.24,1475894
2022-03-28,6.25,6.35,6.16,6.16,1118558
2022-03-29,6.25,6.79,6.135,6.64,3949601
2022-03-30,6.55,6.745,6.485,6.74,1453309
2022-03-31,6.74,6.85,6.625,6.625,1524159
2022-04-01,6.685,6.845,6.64,6.8,907555
2022-04-04,6.89,6.95,6.795,6.855,1285501
2022-04-05,6.815,6.96,6.58,6.62,1199324
2022-04-06,6.7,6.755,6.345,6.43,2334320
2022-04-07,6.445,6.66,6.445,6.6,758207
2022-04-08,6.62,6.65,6.31,6.33,929467
2022-04-11,6.3,6.43,6.195,6.33,1138927
2022-04-12,6.33,6.415,6.21,6.295,1124431
2022-04-13,6.295,6.385,6.215,6.24,531124
2022-04-14,6.2,6.28,6.165,6.165,460289
2022-04-19,6.17,6.235,6.06,6.21,608819
2022-04-20,6.15,6.315,6.15,6.2,1301848
2022-04-21,6.19,6.345,6.15,6.15,956517
2022-04-22,6.14,6.2,6.07,6.09,1459840
2022-04-25,6.075,6.075,5.545,5.57,3084109
2022-04-26,5.65,5.785,5.28,5.35,1634645
2022-04-27,5.3,5.3,4.92,5.02,1699629
2022-04-28,5.1,5.33,5.085,5.255,1195459
2022-04-29,5.31,5.485,5.03,5.035,2976068
2022-05-02,5.08,5.085,4.9,5.01,695075
2022-05-04,5.03,5.05,4.86,4.99,1177052
2022-05-05,5.1,5.15,4.704,4.8,3477435
2022-05-06,4.68,4.692,4.504,4.608,3499393
2022-05-09,4.57,4.66,4.462,4.508,1103804
2022-05-10,4.56,4.714,4.428,4.6,1707815
2022-05-11,4.67,4.67,4.45,4.5,1201883
2022-05-12,4.45,4.484,4.302,4.38,2641011
2022-05-13,4.49,4.608,4.45,4.51,2054765
2022-05-16,4.58,4.84,4.52,4.728,1723906
2022-05-17,4.8,4.844,4.68,4.688,2817144
2022-05-18,4.74,5,4.736,4.762,2866272
2022-05-19,4.65,4.79,4.53,4.53,1954921
2022-05-20,4.646,4.69,4.494,4.496,1656147
2022-05-23,4.6,4.7,4.582,4.68,1008405
2022-05-24,4.65,4.688,4.53,4.55,1510371
2022-05-25,4.6,4.63,4.5,4.62,1150247
2022-05-26,4.62,4.772,4.592,4.77,1041696
2022-05-27,4.78,4.78,4.604,4.744,1107595
2022-05-30,4.8,4.926,4.76,4.92,625398
2022-05-31,4.94,4.94,4.794,4.898,457852
2022-06-01,4.9,4.95,4.768,4.832,772300
2022-06-02,4.89,4.89,4.76,4.77,641425
2022-06-03,4.812,4.812,4.614,4.614,1150619
2022-06-06,4.61,4.83,4.61,4.796,572189
2022-06-07,4.75,4.76,4.66,4.76,444850
2022-06-08,4.77,4.77,4.522,4.62,674840
2022-06-09,4.58,4.628,4.418,4.486,1133617
2022-06-10,4.47,4.47,4.252,4.3,1256723
2022-06-13,4.25,4.25,4,4.046,2022128
2022-06-14,4.1,4.18,3.98,4.012,1187542
2022-06-15,4.06,4.072,3.966,4.072,1145723
2022-06-17,3.998,4.21,3.962,4.068,2096594
2022-06-20,4.2,4.2,4.092,4.16,498664
2022-06-21,4.2,4.246,4.104,4.15,482819
2022-06-22,4.09,4.16,4.006,4.12,1199486
2022-06-23,4.14,4.144,3.96,4,741350
2022-06-24,4.054,4.13,3.966,4.062,1384234
2022-06-27,4.1,4.138,4.002,4.066,495897
2022-06-28,4.07,4.13,4.022,4.05,950289
2022-06-29,4,4.028,3.934,4.01,1682503
2022-06-30,4.01,4.01,3.832,3.886,1767770
2022-07-01,3.85,4.036,3.842,3.864,642123
2022-07-04,3.866,3.912,3.638,3.716,2190619
2022-07-05,3.722,3.8,3.51,3.658,1419715
2022-07-06,3.68,3.76,3.572,3.718,1665442
2022-07-07,3.74,3.952,3.74,3.9,1464084
2022-07-08,3.946,3.976,3.82,3.92,1430115
2022-07-11,3.8,3.9,3.72,3.88,681291
2022-07-12,3.82,3.844,3.6,3.634,1835654
2022-07-13,3.66,3.7,3.52,3.526,1688933
2022-07-14,3.528,3.586,3.36,3.412,2292670
2022-07-15,3.436,3.484,3.232,3.25,2064189
2022-07-18,3.3,3.53,3.294,3.472,1561442
2022-07-19,3.5,3.524,3.412,3.524,1082583
2022-07-20,3.582,3.7,3.49,3.606,1918592
2022-07-21,3.6,3.628,3.512,3.59,774576
2022-07-22,3.586,3.66,3.534,3.606,710597
2022-07-25,3.61,3.7,3.6,3.63,1087262
2022-07-26,3.68,3.682,3.348,3.4,1323394
2022-07-27,3.45,3.45,3.37,3.43,1453072
2022-07-28,3.45,3.57,3.444,3.52,795117
2022-07-29,3.574,3.696,3.55,3.69,1131286
2022-08-01,3.72,3.874,3.682,3.69,800739
2022-08-02,3.678,3.692,3.49,3.622,972663
2022-08-03,3.634,3.716,3.568,3.716,940575
2022-08-04,3.716,3.78,3.65,3.726,672397
2022-08-05,3.74,3.77,3.654,3.7,1265199
2022-08-08,3.696,3.914,3.68,3.89,1015469
2022-08-09,3.892,4.05,3.854,3.952,1182707
2022-08-10,3.998,3.998,3.81,3.886,1087529
2022-08-11,3.94,4.038,3.9,3.95,959169
2022-08-12,3.998,4.16,3.95,4.05,655213
