,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Stopa zwrotu,Stopa otwarcie-zamkniecie,Stopa zamkniecie-otwarcie
1,2022-01-04,42.7024,43.3727,42.6744,43.2889,3433633.0361475,0.018448647358026538,0.013641126361570333,-0.02924140403386799
2,2022-01-05,43.2982,43.3354,42.7303,42.9537,2562668.1597613,-0.007773459703598107,-0.007988272303529609,-0.005867666657972226
3,2022-01-07,43.6612,43.6612,42.7303,43.3261,3203523.4496003,0.008632433375301396,-0.007704611078978019,-0.0006441610717717872
4,2022-01-10,43.2889,44.5643,43.1027,43.6799,3188011.2282786,0.008132817279397742,0.00899179095110103,-0.0004282062004197229
5,2022-01-11,44.1081,45.1042,43.6426,45.0111,3591677.0166939,0.03002108396302594,0.020265686963484075,-0.03901287491412697
6,2022-01-12,45.1508,46.1096,44.8529,46.1096,3638265.2412591,0.024112045253391834,0.021013172851744866,-0.04437773221687591
7,2022-01-13,46.0817,46.4541,45.6069,46.3424,4372827.6247361,0.005036137499152105,0.005641400704069266,-0.02604931035089697
8,2022-01-14,46.3424,46.9568,44.7504,45.1414,5034210.4784182,-0.026257523242684933,-0.026257523242684933,0.020616122538615667
9,2022-01-17,44.9646,45.4766,44.7784,45.309,1215130.806673,0.003705902722689558,0.007630174733254336,0.022551620519995375
10,2022-01-18,45.1508,45.2438,44.2664,44.5084,1678961.37012,-0.01782775284886684,-0.014330063017965244,0.010197578115612504
11,2022-01-19,43.9591,44.676,43.7171,44.1174,2872618.2611054,-0.008823672944987315,0.0035946062900333864,0.02315373596295256
12,2022-01-20,44.2198,44.5363,43.5123,44.0895,2340516.0924685,-0.000632603592926273,-0.0029509937131946273,-0.0029620026971071134
13,2022-01-21,43.6799,44.1081,43.4099,44.015,2417605.6344239,-0.001691173952664382,0.007642442856129694,0.004642167665859009
14,2022-01-24,43.9405,44.5829,41.8273,42.1066,3319064.3089461,-0.04432598691540335,-0.042631948047646695,0.036683544059273654
15,2022-01-25,42.1066,43.5588,42.088,42.8699,2989329.975741,0.01796544997615568,0.01796544997615568,0.024666498071491016
16,2022-01-26,43.1306,44.676,43.1306,44.406,2433833.2590696,0.035204647469762484,0.029141873449836986,-0.05317009744591816
17,2022-01-27,44.406,45.43,43.9871,44.8156,3341127.9489952,0.009181697650745502,0.009181697650745502,-0.03832357110058249
18,2022-01-28,44.4153,44.5084,43.382,44.0057,2714879.3474418,-0.018237122111611104,-0.009264833691173813,0.009055424460865602
19,2022-01-31,44.3222,45.1321,43.9219,44.3501,3861886.7856497,0.0077957925619593915,0.0006292833482537397,0.0014690411292144212
20,2022-02-01,44.8715,45.1321,44.2757,44.6853,1771541.6498138,0.007529624928643397,-0.004158260864628449,-0.008158908276897137
21,2022-02-02,44.8901,45.8117,44.7784,45.8117,2747903.9116906,0.024894928538330863,0.020322236552460904,-0.020736667673702414
22,2022-02-03,45.8117,45.8303,45.1787,45.7559,2029269.4568723,-0.001218771856139611,-0.001218771856139611,-0.019103464696321293
23,2022-02-04,46.1469,46.1469,44.6946,44.6946,2420143.9197908,-0.02346805620247361,-0.03197709747550892,0.02468682805861322
24,2022-02-07,44.8994,45.4393,43.3913,44.3129,1937797.7300767,-0.008576857902926616,-0.013148600580056513,0.040553955378435536
25,2022-02-08,44.4712,45.6162,44.3222,45.5883,2558755.9992424,0.028375273601049855,0.02480931600851033,-0.015226673020993342
26,2022-02-09,45.8024,46.0165,45.0297,45.6162,2067280.360805,0.0006118119362592545,-0.004073574906718669,-0.025421127944769584
27,2022-02-10,45.6069,45.8024,44.5084,44.8249,2170580.9485655,-0.017499127996449815,-0.017295232271962835,0.021572702903168484
28,2022-02-11,44.4712,44.6853,43.5216,44.3595,2405455.5938886,-0.010436897587818184,-0.0025148976394984146,0.02773212985978102
29,2022-02-14,42.451,43.7264,42.0228,43.1865,2300696.270822,-0.026798944591189144,0.01717747680584214,0.02931384223068756
30,2022-02-15,43.5682,44.4153,43.5123,44.0057,1445787.1504151,0.018791224570754217,0.009991644536495592,-0.03596870137659636
31,2022-02-16,44.3781,45.0949,43.7171,43.9498,2136982.7726427,-0.001271097487397732,-0.009698031015351383,-0.00872054704909786
